file,cf,bw
47.npy,47.8258128768216,3.729756210887222
48.npy,9.926363718264433,2.2046588256254895
48.npy,13.810675475118028,1.6777734852352866
48.npy,18.33660288780147,1.350504465641911
48.npy,38.833544855761346,1.1271182203842538
48.npy,54.03902153197186,10.890681563004474
5.npy,9.630667826835257,2.2781376283314354
5.npy,15.402451389082756,4.717067806919608
50.npy,9.877047537386995,1.930282733366201
51.npy,7.143082485321198,1.5677011395585885
51.npy,18.924764250899567,2.835025939178533
51.npy,34.93030679550189,1.9130347978450635
52.npy,9.685257301438462,2.3615520650212556
52.npy,16.89085455961392,1.2012176763046842
52.npy,22.674456244868686,3.0561053187016136
52.npy,33.268747995646805,1.6680424227693937
52.npy,36.48256484858939,0.9324140238425633
52.npy,41.59925842500764,1.8057708780612678
53.npy,13.105784545435123,3.8782626114031675
53.npy,18.984715520713674,1.234416787637105
53.npy,37.03688312735979,1.816370050691965
53.npy,53.91111852988619,13.834533992378818
54.npy,10.797815739104685,1.4212289143525951
54.npy,12.740780020503344,3.2888804259477253
54.npy,22.80917773055342,1.216781419500111
54.npy,31.426703097993563,1.4866694859443552
55.npy,10.617060308173913,2.368833507503949
55.npy,16.90625161828718,2.6160110804266488
55.npy,31.369123205480964,1.0439692731992625
55.npy,34.13453025240619,1.9931625226306116
55.npy,61.62164015405195,13.905879985042148
57.npy,11.627057789077273,2.384118752180778
57.npy,16.196000244504017,2.0135838338135277
58.npy,11.199379642812069,1.7946279628030772
58.npy,16.887309415169163,4.1248498848563795
58.npy,48.17365421889956,8.617021300833418
59.npy,9.553049559892337,3.081924340881802
59.npy,20.332282786063235,1.7509039907890704
60.npy,12.073476211238892,3.6193794519505915
61.npy,6.366525569707494,2.2789809066436284
61.npy,10.359201656292628,1.4853153938678763
61.npy,40.15599303090318,2.1750686042902
62.npy,10.24954119292033,1.5550761389575805
62.npy,17.284278628788737,3.3271255807400557
62.npy,20.67443169619536,1.8350696214095594
62.npy,49.644860602855076,9.306043448034766
7.npy,6.390702670434408,2.3356239488432795
7.npy,10.34563829924362,1.4036172119674188
7.npy,21.915719251500576,3.091913895880496
8.npy,10.371236429312406,1.6180208008537353
8.npy,15.214316145605586,1.9954906114776898
8.npy,19.617473162091876,2.9836061022254885
9.npy,9.58019606658062,2.4173954548556016
9.npy,13.870075300638165,1.7513986023201866
9.npy,17.321787516028916,3.027712454570152
9.npy,33.24992149017917,0.3964927155344143
9.npy,47.78330937449227,7.636655818912695
